signal_date,signal_close,asset_ticker,strategy_name,entry_date,exit_date,entry_reference_open,exit_reference_open,entry_price,exit_price,entry_reason,shares,entry_commission,exit_commission,entry_slippage_bps,exit_slippage_bps,capital_before,capital_after,capital_deployed,capital_deployed_fraction,position_value,position_value_fraction,liquidity_cap_shares,gross_pnl,net_pnl,gross_return,net_position_return,return,holding_bars,holding_period_days,holding_period_hours,regime_at_entry,stop_loss_used,take_profit_used,exit_reason,timeframe_label,data_interval
2002-03-15,289.8999938964844,GC=F,random,2002-03-18,2002-04-04,292.1000061035156,302.6000061035156,292.2012365033737,302.53575735956827,random_timing_entry,1.0,1.0,1.0,2.965607591333993,1.6236743883786104,100000.0,100008.3345208562,293.2012365033737,0.002932012365033737,292.2012365033737,0.002922012365033737,1.0475,10.334520856194558,8.334520856194558,0.035367820409874406,0.028523222406344365,8.334520856194558e-05,12,17,408.0,neutral,,,random_time_exit,Daily,1d
2002-04-10,301.70001220703125,GC=F,random,2002-04-11,2002-04-24,301.70001220703125,305.0,301.74665680448476,304.9470550064562,random_timing_entry,76.0,1.0,1.0,1.0460588520469032,1.2362028153606905,100008.3345208562,100249.56478420603,22933.74591714084,0.22931834658598513,22932.74591714084,0.22930834741936776,76.8175,243.23026334982933,241.23026334982933,0.010606242454726253,0.010519030918557567,0.0024121015963876695,9,13,312.0,neutral,,,random_time_exit,Daily,1d
2002-05-06,311.20001220703125,GC=F,random,2002-05-07,2002-05-20,311.6000061035156,315.70001220703125,311.66096662539843,315.6168237401286,random_timing_entry,2.0,1.0,1.0,1.4563710105497463,2.1357424777572205,100249.56478420603,100255.47649843548,624.3219332507969,0.006227677243234842,623.3219332507969,0.0062177021375857296,2.3675,7.911714229460358,5.911714229460358,0.012692821810711156,0.009484206978934831,5.896997400622859e-05,9,13,312.0,calm,,,random_time_exit,Daily,1d
2002-07-31,303.20001220703125,GC=F,random,2002-08-01,2002-08-26,303.20001220703125,310.5,303.2939023140364,310.4611898136027,random_timing_entry,71.0,1.0,1.0,2.596639288427913,0.7500817387404333,100255.47649843548,100762.35391090468,21534.867064296584,0.2147999073609973,21533.867064296584,0.21478993284354522,71.275,508.87741246920524,506.87741246920524,0.023631492241954544,0.02353861528706166,0.005055857596738021,17,25,600.0,stressed,,,random_time_exit,Daily,1d
2002-09-11,316.6000061035156,GC=F,random,2002-09-12,2002-10-01,318.8999938964844,322.0,318.9433414288891,321.9621441950429,random_timing_entry,5.0,1.0,1.0,0.8592829487100913,0.6757843473084832,100762.35391090468,100775.44792473545,1595.7167071444455,0.015836437371792623,1594.7167071444455,0.015826513030397383,5.237500000000001,15.0940138307692,13.0940138307692,0.009465012665351115,0.008210871418169181,0.00012994946349057196,13,19,456.0,stressed,,,random_time_exit,Daily,1d
2002-10-01,320.8999938964844,GC=F,random,2002-10-02,2002-10-21,319.6000061035156,310.8999938964844,319.6415473097844,310.804810282546,random_timing_entry,18.0,1.0,1.0,0.7997874053638871,2.5624884425635317,100775.44792473545,100614.38665824516,5754.54785157612,0.0571026769920579,5753.54785157612,0.05709275394015793,18.0925,-159.0612664902917,-161.0612664902917,-0.027645771025736524,-0.027993382630192392,-0.0015982193064582651,13,19,456.0,neutral,,,random_time_exit,Daily,1d
2002-11-07,320.5,GC=F,random,2002-11-08,2002-11-19,321.5,318.6000061035156,321.6085396748173,318.5633873444301,random_timing_entry,1.0,1.0,1.0,2.8760396521692337,0.6494967890296162,100614.38665824516,100609.34150591477,322.6085396748173,0.003206385790241063,321.6085396748173,0.0031964468537408917,1.9625000000000001,-3.045152330387168,-5.045152330387168,-0.00946850582222152,-0.01568724616419822,-5.014344864541027e-05,7,11,264.0,calm,,,random_time_exit,Daily,1d
2003-01-02,346.1000061035156,GC=F,random,2003-01-03,2003-01-30,345.20001220703125,366.0,345.3040576534344,365.8872473265693,random_timing_entry,7.0,1.0,1.0,2.5140626513305495,2.5816234852290014,100609.34150591477,100751.42383362672,2418.128403574041,0.02403482984163931,2417.128403574041,0.0240248904067416,7.695,144.08232771194417,142.08232771194417,0.059608884451028576,0.058781456335483394,0.0014122180464086552,18,27,648.0,stressed,,,random_time_exit,Daily,1d
2003-02-05,376.3999938964844,GC=F,random,2003-02-06,2003-02-13,370.0,352.3999938964844,370.0399437267929,352.3490360130554,random_timing_entry,28.0,1.0,1.0,0.5795601835915396,0.9462330876670648,100751.42383362672,100254.07841764207,10362.118424350201,0.10284835717519407,10361.118424350201,0.10283843175715084,28.025000000000002,-495.34541598464966,-497.34541598464966,-0.04780810291874599,-0.04800113227311566,-0.0049363611655347745,5,7,168.0,stressed,,,random_time_exit,Daily,1d
2003-02-19,349.8999938964844,GC=F,random,2003-02-20,2003-03-05,351.70001220703125,353.1000061035156,351.8157951100032,353.0640382959445,random_timing_entry,36.0,1.0,1.0,2.792092662874865,0.5187332514717218,100254.07841764207,100297.01517233596,12666.368623960116,0.12634267676566832,12665.368623960116,0.12633270210911784,36.935,44.936754693886996,42.936754693886996,0.003548002117275644,0.0033900911981874747,0.0004282793814633606,9,13,312.0,stressed,,,random_time_exit,Daily,1d
